,inchikey,inchi,ID
0,HNNIWKQLJSNAEQ,"InChI=1S/C19H23N3O.ClH/c1-21(2)13-8-14-23-19-17-11-6-7-12-18(17)22(20-19)15-16-9-4-3-5-10-16;/h3-7,9-12H,8,13-15H2,1-2H3;1H",1060
1,HTTVYKXJCQENKW,"InChI=1S/C22H20N2O4/c1-5-14-10-15-19(11-18(14)28-13(3)25)27-12(2)20(21(15)26)22-23-16-8-6-7-9-17(16)24(22)4/h6-11H,5H2,1-4H3",134
2,PUFQVTATUTYEAL,"InChI=1S/C20H29N3O2/c1-4-7-14-25-19-15-17(16-10-8-9-11-18(16)22-19)20(24)21-12-13-23(5-2)6-3/h8-11,15H,4-7,12-14H2,1-3H3,(H,21,24)",565
3,WIIZEEPFHXAUND,"InChI=1S/C21H28N2O5.ClH/c1-23(2)10-11-28-17-8-6-15(7-9-17)14-22-21(24)16-12-18(25-3)20(27-5)19(13-16)26-4;/h6-9,12-13H,10-11,14H2,1-5H3,(H,22,24);1H",1269
4,RRNSPXUFTKJIEZ,"InChI=1S/C12H12FN3OS.ClH/c13-9-3-1-2-8(6-9)11-10(16-7-18-11)12(17)15-5-4-14;/h1-3,6-7H,4-5,14H2,(H,15,17);1H",483
5,QSFKGMJOKUZAJM,"InChI=1S/C17H32NO2.BrH/c1-5-7-13(8-6-2)17(19)20-16-11-14-9-10-15(12-16)18(14,3)4;/h13-16H,5-12H2,1-4H3;1H/q+1;/p-1/t14-,15+,16+;",564
6,MQUQNUAYKLCRME,"InChI=1S/C17H18ClNO3S/c1-13-7-9-15(10-8-13)23(21,22)19-16(17(20)12-18)11-14-5-3-2-4-6-14/h2-10,16,19H,11-12H2,1H3/t16-/m0/s1",932
7,YXQXDXAHCSEVSD,"InChI=1S/C28H47NO4S.C4H4O4/c1-8-26(6)17-22(33-23(31)18-34-16-15-29(9-2)10-3)27(7)19(4)11-13-28(20(5)25(26)32)14-12-21(30)24(27)28;5-3(6)1-2-4(7)8/h8,19-20,22,24-25,32H,1,9-18H2,2-7H3;1-2H,(H,5,6)(H,7,8)/b;2-1+/t19?,20-,22+,24-,25-,26+,27-,28-;/m0./s1",642
8,VWQWXZAWFPZJDA,"InChI=1S/C25H34O8/c1-23-9-7-15(26)11-14(23)3-4-16-17-8-10-25(32,24(17,2)12-18(27)22(16)23)19(28)13-33-21(31)6-5-20(29)30/h11,16-18,22,27,32H,3-10,12-13H2,1-2H3,(H,29,30)/t16-,17-,18-,22+,23-,24-,25-/m0/s1",476
9,IZBZAOZGNNQKPJ,"InChI=1S/C14H13N3O4S2.Na.H2O/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2;;/h3-7,18H,1-2H3,(H,15,16,19);;1H2/q;+1;/p-1",389
10,XSYCDVWYEVUDKQ,"InChI=1S/C22H26N4/c1-25-13-11-22-16-8-4-5-9-17(16)23-19(25)21(22)12-14-26(2)20(22)24-18-10-6-3-7-15(18)21/h3-10,19-20,23-24H,11-14H2,1-2H3/t19-,20-,21-,22-/m1/s1",630
11,OMCOKCNIYWULQH,"InChI=1S/C11H12N4O2.ClH/c1-2-17-11(16)15-14-10-9-6-4-3-5-8(9)7-12-13-10;/h3-7H,2H2,1H3,(H,13,14)(H,15,16);1H",263
12,KMTLTEVOQLMYRS,"InChI=1S/C22H22FN3O3.C4H6O6/c23-17-7-5-15(6-8-17)20(27)16-9-11-25(12-10-16)13-14-26-21(28)18-3-1-2-4-19(18)24-22(26)29;5-1(3(7)8)2(6)4(9)10/h1-8,16H,9-14H2,(H,24,29);1-2,5-6H,(H,7,8)(H,9,10)",589
13,ICYQAMNVLLHURR,"InChI=1S/C21H20N4O3.H2O/c1-28-19-7-6-17(20(26)24-13-15-4-2-8-22-11-15)10-18(19)21(27)25-14-16-5-3-9-23-12-16;/h2-12H,13-14H2,1H3,(H,24,26)(H,25,27);1H2",523
14,VRHJBWUIWQOFLF,"InChI=1S/C21H25N3O2S.C4H4O4/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21;5-3(6)1-2-4(7)8/h1-8,25H,9-16H2;1-2H,(H,5,6)(H,7,8)/b;2-1+",52
15,MFRZXWWIKYCJRA,"InChI=1S/C22H22FN3O3.C4H6O4.H2O/c23-17-7-5-15(6-8-17)20(27)16-9-11-25(12-10-16)13-14-26-21(28)18-3-1-2-4-19(18)24-22(26)29;5-3(6)1-2-4(7)8;/h1-8,16H,9-14H2,(H,24,29);1-2H2,(H,5,6)(H,7,8);1H2",1365
16,MVGSNCBCUWPVDA,"InChI=1S/C20H17FO4S/c1-12-17(9-13-3-6-15(7-4-13)26(2,24)25)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9+",799
17,GQWNECFJGBQMBO,"InChI=1S/C16H24N2O2.ClH/c1-3-13-11(2)17-14-5-4-12(16(19)15(13)14)10-18-6-8-20-9-7-18;/h12,17H,3-10H2,1-2H3;1H",199
18,QUNWUDVFRNGTCO,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)",215
19,DDXORDQKGIZAME,"InChI=1S/C18H15Cl3N2O.HNO3/c19-14-3-1-13(2-4-14)11-24-18(10-23-8-7-22-12-23)16-6-5-15(20)9-17(16)21;2-1(3)4/h1-9,12,18H,10-11H2;(H,2,3,4)",250
20,RGCVKNLCSQQDEP,"InChI=1S/C21H26ClN3OS/c22-17-6-7-21-19(16-17)25(18-4-1-2-5-20(18)27-21)9-3-8-23-10-12-24(13-11-23)14-15-26/h1-2,4-7,16,26H,3,8-15H2",496
21,GCBCWTWQAFLKJG,"InChI=1S/C10H12ClNO2.ClH/c1-14-10(13)9(12)6-7-2-4-8(11)5-3-7;/h2-5,9H,6,12H2,1H3;1H",1402
22,KWORUUGOSLYAGD,"InChI=1S/2C17H18N3O3S.Mg/c2*1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17;/h2*5-8H,9H2,1-4H3;/q2*-1;+2",284
23,WFXFYZULCQKPIP,"InChI=1S/C19H21N5O4.ClH/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14;/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22);1H",1288
24,RYYVLZVUVIJVGH,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",540
25,DGEZNRSVGBDHLK,InChI=1S/C12H8N2/c1-3-9-5-6-10-4-2-8-14-12(10)11(9)13-7-1/h1-8H,1056
26,VSWPGAIWKHPTKX,"InChI=1S/C19H22N4O2S/c1-13-18-14(12-26-13)19(25)20-15-5-3-4-6-16(15)23(18)17(24)11-22-9-7-21(2)8-10-22/h3-6,12H,7-11H2,1-2H3,(H,20,25)",555
27,FLVRDMUHUXVRET,"InChI=1S/C21H14ClNO3/c22-14-9-10-17-18(12-14)23-21(25)19(20(17)24)13-5-4-8-16(11-13)26-15-6-2-1-3-7-15/h1-12H,(H2,23,24,25)",1257
28,POPFMWWJOGLOIF,"InChI=1S/C24H33FO6/c1-21(2)30-19-9-14-13-8-16(25)15-7-12(27)5-6-22(15,3)20(13)17(28)10-23(14,4)24(19,31-21)18(29)11-26/h7,13-14,16-17,19-20,26,28H,5-6,8-11H2,1-4H3/t13-,14-,16-,17-,19+,20+,22-,23-,24+/m0/s1",668
29,YPVGGQKNWAKOPX,"InChI=1S/C19H27N5O5.ClH/c1-21-17(14-18(26)22(2)19(21)27)20-9-11-23(12-13-25)10-3-4-15-5-7-16(8-6-15)24(28)29;/h5-8,14,20,25H,3-4,9-13H2,1-2H3;1H",1157
30,GSVQIUGOUKJHRC,"InChI=1S/C12H13I3N2O3/c1-5(12(19)20)4-17(6(2)18)11-8(14)3-7(13)10(16)9(11)15/h3,5H,4,16H2,1-2H3,(H,19,20)",1378
31,ZULBIBHDIQCNIS,"InChI=1S/C11H11BrN2S.C2H2O4/c12-9-3-1-8(2-4-9)10-7-14-5-6-15-11(14)13-10;3-1(4)2(5)6/h1-4,10H,5-7H2;(H,3,4)(H,5,6)/t10-;/m1./s1",594
32,FFBDFADSZUINTG,"InChI=1S/C16H24N4O2/c1-3-9-19-14-12(15(21)20(10-4-2)16(19)22)17-13(18-14)11-7-5-6-8-11/h11H,3-10H2,1-2H3,(H,17,18)",4
33,RHMKLRMJHMQLGQ,"InChI=1S/C18H26NO3.HNO3/c1-19(2)14-8-9-15(19)11-16(10-14)22-18(21)17(12-20)13-6-4-3-5-7-13;2-1(3)4/h3-7,14-17,20H,8-12H2,1-2H3;(H,2,3,4)/q+1;/t14-,15?,16+,17?;/m0./s1",1282
34,VHRSUDSXCMQTMA,"InChI=1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,9,12,14-15,17,19,23,25,27H,5,7-8,10-11H2,1-3H3/t12-,14-,15-,17-,19+,20-,21-,22-/m0/s1",1224
35,HDDSHPAODJUKPD,"InChI=1S/C15H13N3O2S/c1-20-15(19)18-14-16-12-8-7-11(9-13(12)17-14)21-10-5-3-2-4-6-10/h2-9H,1H3,(H2,16,17,18,19)",1155
36,MROJXXOCABQVEF,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)",1154
37,BSJMWHQBCZFXBR,"InChI=1S/C22H19ClO3/c23-16-11-9-14(10-12-16)13-5-7-15(8-6-13)19-20(24)17-3-1-2-4-18(17)21(25)22(19)26/h1-4,9-13,15,24H,5-8H2",1320
38,RRCPAXJDDNWJBI,"InChI=1S/C15H23NO2.ClH/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3;/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3;1H",1291
39,UREBDLICKHMUKA,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15-,16-,17-,19-,20-,21-,22-/m0/s1",1040
40,OYFJQPXVCSSHAI,"InChI=1S/C20H28N2O5.C4H4O4/c1-3-27-20(26)16(12-11-15-8-5-4-6-9-15)21-14(2)18(23)22-13-7-10-17(22)19(24)25;5-3(6)1-2-4(7)8/h4-6,8-9,14,16-17,21H,3,7,10-13H2,1-2H3,(H,24,25);1-2H,(H,5,6)(H,7,8)/b;2-1-/t14-,16-,17-;/m0./s1",181
41,QGXBDMJGAMFCBF,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13-,14-,15-,16-,18-,19-/m0/s1",57
42,AKJDEXBCRLOVTH,"InChI=1S/C20H31NO3.C6H8O7/c1-3-21(4-2)14-15-23-16-17-24-19(22)20(12-8-9-13-20)18-10-6-5-7-11-18;7-3(8)1-6(13,5(11)12)2-4(9)10/h5-7,10-11H,3-4,8-9,12-17H2,1-2H3;13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",1265
43,PUMYFTJOWAJIKF,"InChI=1S/C16H12Cl2N2O/c1-20-14-7-6-12(18)8-13(14)16(19-9-15(20)21)10-2-4-11(17)5-3-10/h2-8H,9H2,1H3",303
44,RLQYRXCUPVKSAW,"InChI=1S/C21H22NO4.ClH/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4;/h5-6,9-12H,7-8H2,1-4H3;1H/q+1;/p-1",1230
45,IROINLKCQGIITA,"InChI=1S/C10H19N5S/c1-6-11-7-12-8(15-10(2,3)4)14-9(13-7)16-5/h6H2,1-5H3,(H2,11,12,13,14,15)",253
46,DCSUBABJRXZOMT,"InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)/t20-,22+/m0/s1",1068
47,OYHLRJGDELITAF,"InChI=1S/C18H18ClNO3/c19-12-17(21)16(11-14-7-3-1-4-8-14)20-18(22)23-13-15-9-5-2-6-10-15/h1-10,16H,11-13H2,(H,20,22)/t16-/m0/s1",1177
48,DNTSIBUQMRRYIU,"InChI=1S/C13H9ClN2O3/c14-12-7-6-10(16(18)19)8-11(12)13(17)15-9-4-2-1-3-5-9/h1-8H,(H,15,17)",1041
49,HXCNRYXBZNHDNE,"InChI=1S/C23H24FN3O2/c1-16-20(23(29)27-12-3-2-4-21(27)25-16)11-15-26-13-9-18(10-14-26)22(28)17-5-7-19(24)8-6-17/h2-8,12,18H,9-11,13-15H2,1H3",256
50,DXYXBJIMHQZKKV,"InChI=1S/C21H27NO2.C4H6O4/c1-16(21(24)19-7-9-20(23)10-8-19)22-13-11-18(12-14-22)15-17-5-3-2-4-6-17;5-3(6)1-2-4(7)8/h2-10,16,18,21,23-24H,11-15H2,1H3;1-2H2,(H,5,6)(H,7,8)",986
51,YNZFFALZMRAPHQ,"InChI=1S/C24H40O3/c1-4-5-6-7-14-24(2,3)19-11-13-21(23(27)16-19)22-17-20(26)12-10-18(22)9-8-15-25/h11,13,16,18,20,22,25-27H,4-10,12,14-15,17H2,1-3H3/t18-,20-,22-/m1/s1",1229
52,MGCQZNBCJBRZDT,"InChI=1S/C12H18N2O4.ClH/c1-17-8-3-4-11(18-2)9(5-8)10(15)7-14-12(16)6-13;/h3-5,10,15H,6-7,13H2,1-2H3,(H,14,16);1H",791
53,SHTAFWKOISOCBI,"InChI=1S/C30H32N2O2.ClH/c1-2-34-28(33)29(25-12-6-3-7-13-25)18-21-32(22-19-29)23-20-30(24-31,26-14-8-4-9-15-26)27-16-10-5-11-17-27;/h3-17H,2,18-23H2,1H3;1H",1212
54,CEUORZQYGODEFX,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",1220
55,MVAWJSIDNICKHF,"InChI=1S/C12H14N2O2/c1-8(15)13-5-4-9-7-14-12-3-2-10(16)6-11(9)12/h2-3,6-7,14,16H,4-5H2,1H3,(H,13,15)",1172
56,BXJHWYVXLGLDMZ,"InChI=1S/C6H7N5O/c1-12-5-3-4(9-2-8-3)10-6(7)11-5/h2H,1H3,(H3,7,8,9,10,11)",848
57,MWWSFMDVAYGXBV,"InChI=1S/C27H29NO11.ClH/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34;/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3;1H/t10-,13-,15-,17-,22+,27-;/m0./s1",204
58,MPIPASJGOJYODL,"InChI=1S/C18H14Cl4N2O/c19-12-4-5-13(17(22)8-12)18(9-24-7-6-23-11-24)25-10-14-15(20)2-1-3-16(14)21/h1-8,11,18H,9-10H2",287
59,PLBHSZGDDKCEHR,"InChI=1S/C24H32O6/c1-13-9-16-17-6-8-24(29,20(28)12-30-14(2)25)23(17,4)11-19(27)21(16)22(3)7-5-15(26)10-18(13)22/h5,7,10,13,16-17,19,21,27,29H,6,8-9,11-12H2,1-4H3/t13-,16-,17-,19-,21+,22-,23-,24-/m0/s1",701
60,FLOSMHQXBMRNHR,"InChI=1S/C5H8N4O3S2/c1-3(10)7-4-9(2)8-5(13-4)14(6,11)12/h1-2H3,(H2,6,11,12)",403
61,MBKUFCLQPYLOCC,"InChI=1S/C12H17NO4.ClH/c1-12(13,11(14)15)7-8-4-5-9(16-2)10(6-8)17-3;/h4-6H,7,13H2,1-3H3,(H,14,15);1H/t12-;/m0./s1",1281
